time,solar
2021-06-11 07:10:00,239.2
2021-06-11 07:15:00,285.8
2021-06-11 07:20:00,285.4
2021-06-11 07:25:00,296.6
2021-06-11 07:30:00,302.6
2021-06-11 07:35:00,322.2
2021-06-11 07:40:00,337.2
2021-06-11 07:45:00,350.8
2021-06-11 07:50:00,366.8
2021-06-11 07:55:00,333.4
2021-06-11 08:00:00,372.6
2021-06-11 08:05:00,407.2
2021-06-11 08:10:00,416.2
2021-06-11 08:15:00,426.6
2021-06-11 08:20:00,435.0
2021-06-11 08:25:00,448.0
2021-06-11 08:30:00,460.8
2021-06-11 08:35:00,472.6
2021-06-11 08:40:00,486.4
2021-06-11 08:45:00,499.2
2021-06-11 08:50:00,513.6
2021-06-11 08:55:00,527.4
2021-06-11 09:00:00,533.8
2021-06-11 09:05:00,558.2
2021-06-11 09:10:00,576.2
2021-06-11 09:15:00,584.2
2021-06-11 09:20:00,592.4
2021-06-11 09:25:00,599.2
2021-06-11 09:30:00,608.2
2021-06-11 09:35:00,625.4
2021-06-11 09:40:00,641.2
2021-06-11 09:45:00,658.0
2021-06-11 09:50:00,675.6
2021-06-11 09:55:00,706.0
2021-06-11 10:00:00,701.6
2021-06-11 10:05:00,636.8
2021-06-11 10:10:00,617.6
2021-06-11 10:15:00,765.6
2021-06-11 10:20:00,467.2
2021-06-11 10:25:00,632.4
2021-06-11 10:30:00,341.8
2021-06-11 10:35:00,679.6
2021-06-11 10:40:00,620.0
2021-06-11 10:45:00,288.2
2021-06-11 10:50:00,381.6
2021-06-11 10:55:00,487.2
2021-06-11 11:00:00,670.0
2021-06-11 11:05:00,386.0
2021-06-11 11:10:00,270.2
2021-06-11 11:15:00,472.6
2021-06-11 11:20:00,511.4
2021-06-11 11:25:00,439.2
2021-06-11 11:30:00,530.6
2021-06-11 11:35:00,406.4
2021-06-11 11:40:00,414.2
2021-06-11 11:45:00,866.2
2021-06-11 11:50:00,577.6
2021-06-11 11:55:00,867.8
2021-06-11 12:00:00,758.2
2021-06-11 12:05:00,932.2
2021-06-11 12:10:00,934.4
2021-06-11 12:15:00,508.2
2021-06-11 12:20:00,462.0
2021-06-11 12:25:00,436.2
2021-06-11 12:30:00,901.0
2021-06-11 12:35:00,438.4
2021-06-11 12:40:00,338.6
2021-06-11 12:45:00,997.6
2021-06-11 12:50:00,991.0
2021-06-11 12:55:00,800.2
2021-06-11 13:00:00,779.6
2021-06-11 13:05:00,349.2
2021-06-11 13:10:00,229.2
2021-06-11 13:15:00,760.8
2021-06-11 13:20:00,272.6
2021-06-11 13:25:00,253.6
2021-06-11 13:30:00,220.8
2021-06-11 13:35:00,292.4
2021-06-11 13:40:00,628.0
2021-06-11 13:45:00,956.8
2021-06-11 13:50:00,595.0
2021-06-11 13:55:00,206.0
2021-06-11 14:00:00,870.6
2021-06-11 14:05:00,914.4
2021-06-11 14:10:00,970.6
2021-06-11 14:15:00,961.8
2021-06-11 14:20:00,920.4
